function	function_usr	domain	provenance	current_source	current_header	original_source	original_header
p101_symlink	c:@F@p101_symlink	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_symlinkat	c:@F@p101_symlinkat	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_sync	c:@F@p101_sync	filesystem	XSI	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h
p101_telldir	c:@F@p101_telldir	filesystem	XSI	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix_xsi/src/dirent.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_dirent.h
p101_truncate	c:@F@p101_truncate	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_umask	c:@F@p101_umask	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_unlink	c:@F@p101_unlink	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_unlinkat	c:@F@p101_unlinkat	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_utimensat	c:@F@p101_utimensat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_confstr	c:@F@p101_confstr	host	POSIX	libraries/lib_host/src/unistd.c	libraries/lib_host/include/p101_host/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getdomainname	c:@F@p101_getdomainname	host	common-Unix	libraries/lib_host/src/unistd.c	libraries/lib_host/include/p101_host/p101_unistd.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h
p101_gethostid	c:@F@p101_gethostid	host	XSI	libraries/lib_host/src/unistd.c	libraries/lib_host/include/p101_host/p101_unistd.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h
p101_gethostname	c:@F@p101_gethostname	host	POSIX	libraries/lib_host/src/unistd.c	libraries/lib_host/include/p101_host/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getloadavg	c:@F@p101_getloadavg	host	common-Unix	libraries/lib_host/src/stdlib.c	libraries/lib_host/include/p101_host/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h
p101_setdomainname	c:@F@p101_setdomainname	host	common-Unix	libraries/lib_host/src/unistd.c	libraries/lib_host/include/p101_host/p101_unistd.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h
p101_sysconf	c:@F@p101_sysconf	host	POSIX	libraries/lib_host/src/unistd.c	libraries/lib_host/include/p101_host/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_uname	c:@F@p101_uname	host	POSIX	libraries/lib_host/src/sys/utsname.c	libraries/lib_host/include/p101_host/sys/p101_utsname.h	libraries/lib_posix/src/sys/utsname.c	libraries/lib_posix/include/p101_posix/sys/p101_utsname.h
p101_crypt	c:@F@p101_crypt	identity	XSI	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h
p101_endusershell	c:@F@p101_endusershell	identity	common-Unix	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h
p101_endutxent	c:@F@p101_endutxent	identity	XSI	libraries/lib_identity/src/utmpx.c	libraries/lib_identity/include/p101_identity/p101_utmpx.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h
p101_getegid	c:@F@p101_getegid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_geteuid	c:@F@p101_geteuid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getgid	c:@F@p101_getgid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getgrgid_r	c:@F@p101_getgrgid_r	identity	POSIX	libraries/lib_identity/src/grp.c	libraries/lib_identity/include/p101_identity/p101_grp.h	libraries/lib_posix/src/grp.c	libraries/lib_posix/include/p101_posix/p101_grp.h
p101_getgrnam_r	c:@F@p101_getgrnam_r	identity	POSIX	libraries/lib_identity/src/grp.c	libraries/lib_identity/include/p101_identity/p101_grp.h	libraries/lib_posix/src/grp.c	libraries/lib_posix/include/p101_posix/p101_grp.h
p101_getgroups	c:@F@p101_getgroups	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getlogin_r	c:@F@p101_getlogin_r	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getpwnam_r	c:@F@p101_getpwnam_r	identity	POSIX	libraries/lib_identity/src/pwd.c	libraries/lib_identity/include/p101_identity/p101_pwd.h	libraries/lib_posix/src/pwd.c	libraries/lib_posix/include/p101_posix/p101_pwd.h
p101_getpwuid_r	c:@F@p101_getpwuid_r	identity	POSIX	libraries/lib_identity/src/pwd.c	libraries/lib_identity/include/p101_identity/p101_pwd.h	libraries/lib_posix/src/pwd.c	libraries/lib_posix/include/p101_posix/p101_pwd.h
p101_getuid	c:@F@p101_getuid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getusershell	c:@F@p101_getusershell	identity	common-Unix	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h
p101_getutxent	c:@F@p101_getutxent	identity	XSI	libraries/lib_identity/src/utmpx.c	libraries/lib_identity/include/p101_identity/p101_utmpx.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h
